GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2040.01.02.12,0.4094719559488338
Anhui-Solar_Distributed,2040.01.02.16,0.02987852074908
Anhui-Solar_Distributed,2040.01.02.20,0.0
Anhui-Solar_Distributed,2040.02.07.00,0.0
Anhui-Solar_Distributed,2040.02.07.04,0.0
Anhui-Solar_Distributed,2040.02.07.08,0.0902443402704721
Anhui-Solar_Distributed,2040.02.07.12,0.3604200979566624
Anhui-Solar_Distributed,2040.02.07.16,0.0584825600077465
Anhui-Solar_Distributed,2040.02.07.20,0.0
Anhui-Solar_Distributed,2040.03.07.00,0.0
Anhui-Solar_Distributed,2040.03.07.04,0.0
Anhui-Solar_Distributed,2040.03.07.08,0.2057874492575811
Anhui-Solar_Distributed,2040.03.07.12,0.594987570717942
Anhui-Solar_Distributed,2040.03.07.16,0.1417553520849672
Anhui-Solar_Distributed,2040.03.07.20,0.0
Anhui-Solar_Distributed,2040.04.19.00,0.0
Anhui-Solar_Distributed,2040.04.19.04,0.0
Anhui-Solar_Distributed,2040.04.19.08,0.1751723487598272
Anhui-Solar_Distributed,2040.04.19.12,0.4509202666967369
Anhui-Solar_Distributed,2040.04.19.16,0.1977565319089655
Anhui-Solar_Distributed,2040.04.19.20,0.0
Anhui-Solar_Distributed,2040.05.19.00,0.0
Anhui-Solar_Distributed,2040.05.19.04,0.0
Anhui-Solar_Distributed,2040.05.19.08,0.3669285718336563
Anhui-Solar_Distributed,2040.05.19.12,0.5858143351985391
Anhui-Solar_Distributed,2040.05.19.16,0.2611064267648721
Anhui-Solar_Distributed,2040.05.19.20,0.0
Anhui-Solar_Distributed,2040.06.26.00,0.0
Anhui-Solar_Distributed,2040.06.26.04,0.0
Anhui-Solar_Distributed,2040.06.26.08,0.3192939094495041
Anhui-Solar_Distributed,2040.06.26.12,0.4614055318971331
Anhui-Solar_Distributed,2040.06.26.16,0.138968810519507
Anhui-Solar_Distributed,2040.06.26.20,0.0
Anhui-Solar_Distributed,2040.07.24.00,0.0
Anhui-Solar_Distributed,2040.07.24.04,0.0
Anhui-Solar_Distributed,2040.07.24.08,0.1631835141905254
Anhui-Solar_Distributed,2040.07.24.12,0.4080933260229641
Anhui-Solar_Distributed,2040.07.24.16,0.204636694554764
Anhui-Solar_Distributed,2040.07.24.20,0.0
Anhui-Solar_Distributed,2040.08.26.00,0.0
Anhui-Solar_Distributed,2040.08.26.04,0.0
Anhui-Solar_Distributed,2040.08.26.08,0.2111266184690802
Anhui-Solar_Distributed,2040.08.26.12,0.4388122518432514
