load_zone,TIMEPOINT,zone_demand_mw
East_Inner_Mongolia,2025.02.08.16,13105.172159166896
Fujian,2025.02.08.16,29674.096027622985
Gansu,2025.02.08.16,18412.50764607981
Guangdong,2025.02.08.16,73505.91262603183
Guangxi,2025.02.08.16,24140.6560820905
Guizhou,2025.02.08.16,19756.83160107189
Hainan,2025.02.08.16,4011.496598569456
Hebei,2025.02.08.16,58733.74524360751
Heilongjiang,2025.02.08.16,16066.11055299609
Henan,2025.02.08.16,46457.88949527095
Hubei,2025.02.08.16,26985.946565190327
Hunan,2025.02.08.16,26432.969524152348
Jiangsu,2025.02.08.16,81104.65556315548
Jiangxi,2025.02.08.16,20979.932748182124
Jilin,2025.02.08.16,11210.230899542392
Liaoning,2025.02.08.16,31509.80651926897
Ningxia,2025.02.08.16,12622.067675880642
Qinghai,2025.02.08.16,10984.246553438765
Shaanxi,2025.02.08.16,25174.96304542625
Shandong,2025.02.08.16,86266.47618743412
Shanghai,2025.02.08.16,25038.94430571201
Shanxi,2025.02.08.16,31011.831311369413
Sichuan,2025.02.08.16,38582.294832657215
Tianjin,2025.02.08.16,9168.241883680306
Tibet,2025.02.08.16,958.3827164926782
West_Inner_Mongolia,2025.02.08.16,37490.78936031958
Xinjiang,2025.02.08.16,40772.05597683889
Yunnan,2025.02.08.16,19064.3576865266
Zhejiang,2025.02.08.16,61150.41052060567
Anhui,2025.02.08.20,32311.963024489112
Beijing,2025.02.08.20,19971.080228143383
Chongqing,2025.02.08.20,13829.191250171489
East_Inner_Mongolia,2025.02.08.20,13646.16386329214
Fujian,2025.02.08.20,28670.65019316993
Gansu,2025.02.08.20,18827.449976866927
Guangdong,2025.02.08.20,67723.58458702744
Guangxi,2025.02.08.20,23841.894605677902
Guizhou,2025.02.08.20,21656.06380490549
Hainan,2025.02.08.20,4408.584804714371
Hebei,2025.02.08.20,39791.69306876876
Heilongjiang,2025.02.08.20,11470.644359306169
Henan,2025.02.08.20,44701.3242762962
Hubei,2025.02.08.20,25293.32656120576
Hunan,2025.02.08.20,27150.51000912773
Jiangsu,2025.02.08.20,78557.38680937591
Jiangxi,2025.02.08.20,21084.77362642158
Jilin,2025.02.08.20,10906.7210729339
Liaoning,2025.02.08.20,30850.446899273626
Ningxia,2025.02.08.20,13470.498505923251
Qinghai,2025.02.08.20,10891.72227201984
Shaanxi,2025.02.08.20,24446.702256435197
Shandong,2025.02.08.20,86266.47618743412
Shanghai,2025.02.08.20,23152.10462546946
Shanxi,2025.02.08.20,32408.45874312568
Sichuan,2025.02.08.20,35174.315597778994
Tianjin,2025.02.08.20,9168.241883680306
Tibet,2025.02.08.20,1014.7581704040124
West_Inner_Mongolia,2025.02.08.20,38327.79749208128
Xinjiang,2025.02.08.20,41607.90392567893
Yunnan,2025.02.08.20,19824.43965390929
Zhejiang,2025.02.08.20,54302.76399350847
Anhui,2025.03.21.00,26756.71909800217
Beijing,2025.03.21.00,11481.013581378602
Chongqing,2025.03.21.00,13933.460952578893
East_Inner_Mongolia,2025.03.21.00,11392.962396291416
Fujian,2025.03.21.00,32400.213725447116
Gansu,2025.03.21.00,17368.83561962142
Guangdong,2025.03.21.00,87644.3540924257
Guangxi,2025.03.21.00,21322.47359425581
Guizhou,2025.03.21.00,16336.926221785236
Hainan,2025.03.21.00,4967.311125255126
Hebei,2025.03.21.00,47967.17801426341
Heilongjiang,2025.03.21.00,9711.443824782538
Henan,2025.03.21.00,38576.44660394606
Hubei,2025.03.21.00,23352.13507645339
Hunan,2025.03.21.00,23894.84374413515
Jiangsu,2025.03.21.00,75046.31412768723
Jiangxi,2025.03.21.00,19489.06685142877
Jilin,2025.03.21.00,8067.602669782127
Liaoning,2025.03.21.00,30363.51692231092
Ningxia,2025.03.21.00,14148.969181692348
Qinghai,2025.03.21.00,9035.183413108434
Shaanxi,2025.03.21.00,20691.504728932738
Shandong,2025.03.21.00,86266.47618743412
Shanghai,2025.03.21.00,18695.830076722697
Shanxi,2025.03.21.00,27261.97389030401
Sichuan,2025.03.21.00,29599.014717733677
Tianjin,2025.03.21.00,9276.935509076888
Tibet,2025.03.21.00,811.8065363232098
West_Inner_Mongolia,2025.03.21.00,35798.53463351533
Xinjiang,2025.03.21.00,38254.20221189407
Yunnan,2025.03.21.00,20681.110605890364
Zhejiang,2025.03.21.00,65899.51141887983
Anhui,2025.03.21.04,22946.422583790256
Beijing,2025.03.21.04,10026.95355664382
Chongqing,2025.03.21.04,11237.69944988419
East_Inner_Mongolia,2025.03.21.04,10998.02441821162
Fujian,2025.03.21.04,29393.28833214197
Gansu,2025.03.21.04,16512.011992097217
Guangdong,2025.03.21.04,76309.17575134333
Guangxi,2025.03.21.04,18162.53893564442
Guizhou,2025.03.21.04,14338.485163617424
Hainan,2025.03.21.04,4113.887931006778
Hebei,2025.03.21.04,41775.242454912805
Heilongjiang,2025.03.21.04,9145.733930040971
Henan,2025.03.21.04,34663.54626551506
Hubei,2025.03.21.04,21067.2187824059
Hunan,2025.03.21.04,18324.352766749023
Jiangsu,2025.03.21.04,69018.92833367168
Jiangxi,2025.03.21.04,17539.05900263196
Jilin,2025.03.21.04,7614.534852079825
Liaoning,2025.03.21.04,28167.35435245557
Ningxia,2025.03.21.04,13642.413590424689
Qinghai,2025.03.21.04,8893.710679376314
Shaanxi,2025.03.21.04,17368.601742889954
Shandong,2025.03.21.04,86266.47618743412
Shanghai,2025.03.21.04,16278.983040579744
Shanxi,2025.03.21.04,25834.00759869797
Sichuan,2025.03.21.04,24618.364466711057
Tianjin,2025.03.21.04,8827.257143263025
Tibet,2025.03.21.04,789.2563547586763
West_Inner_Mongolia,2025.03.21.04,34694.34502960069
Xinjiang,2025.03.21.04,36219.65328163666
Yunnan,2025.03.21.04,18877.563595635344
Zhejiang,2025.03.21.04,57504.7593831826
Anhui,2025.03.21.08,24144.43561540613
Beijing,2025.03.21.08,13594.890481065704
Chongqing,2025.03.21.08,11652.158525097297
East_Inner_Mongolia,2025.03.21.08,12615.612262386596
Fujian,2025.03.21.08,30633.80898585456
Gansu,2025.03.21.08,17990.025625531074
Guangdong,2025.03.21.08,84010.08332251826
Guangxi,2025.03.21.08,20602.333248061383
Guizhou,2025.03.21.08,18988.887120119784
Hainan,2025.03.21.08,4355.036542154117
Hebei,2025.03.21.08,48911.20340946533
Heilongjiang,2025.03.21.08,13168.003011268938
Henan,2025.03.21.08,35818.74639880343
Hubei,2025.03.21.08,21172.54115887019
Hunan,2025.03.21.08,19645.95234460101
Jiangsu,2025.03.21.08,75709.00914545455
Jiangxi,2025.03.21.08,17557.553994416616
Jilin,2025.03.21.08,9732.00831448296
Liaoning,2025.03.21.08,30395.595076568163
Ningxia,2025.03.21.08,13706.365756513422
Qinghai,2025.03.21.08,9083.612479079306
Shaanxi,2025.03.21.08,18754.592567174423
Shandong,2025.03.21.08,86266.47618743412
Shanghai,2025.03.21.08,20386.363276589946
Shanxi,2025.03.21.08,27395.242382237564
Sichuan,2025.03.21.08,25531.248440752828
Tianjin,2025.03.21.08,11967.880155592622
Tibet,2025.03.21.08,845.6318086700103
West_Inner_Mongolia,2025.03.21.08,35901.650802194024
Xinjiang,2025.03.21.08,37099.35890910096
Yunnan,2025.03.21.08,22641.410729523814
Zhejiang,2025.03.21.08,72577.02455321208
Anhui,2025.03.21.12,28533.409148906605
Beijing,2025.03.21.12,17005.682816723114
Chongqing,2025.03.21.12,14605.408327272928
East_Inner_Mongolia,2025.03.21.12,13242.085646074154
Fujian,2025.03.21.12,36608.54726604899
Gansu,2025.03.21.12,19121.29517685518
Guangdong,2025.03.21.12,97899.47265070412
Guangxi,2025.03.21.12,24993.144996119838
Guizhou,2025.03.21.12,21830.917713323437
Hainan,2025.03.21.12,4740.066508545701
Hebei,2025.03.21.12,61291.61729690962
Heilongjiang,2025.03.21.12,12264.823707380328
Henan,2025.03.21.12,43233.98014449234
Hubei,2025.03.21.12,24919.02038818589
Hunan,2025.03.21.12,24562.312461730533
Jiangsu,2025.03.21.12,87590.38612675943
Jiangxi,2025.03.21.12,21053.958319116977
Jilin,2025.03.21.12,10290.375841027391
Liaoning,2025.03.21.12,31877.105472625448
Ningxia,2025.03.21.12,13872.826241794628
Qinghai,2025.03.21.12,8964.641289475452
Shaanxi,2025.03.21.12,23868.712257723564
Shandong,2025.03.21.12,103519.77142492094
Shanghai,2025.03.21.12,25071.879759221363
Shanxi,2025.03.21.12,30856.7972651337
Sichuan,2025.03.21.12,36365.95874969904
Tianjin,2025.03.21.12,12479.967558988872
Tibet,2025.03.21.12,1240.2599860493483
West_Inner_Mongolia,2025.03.21.12,37314.63289380972
Xinjiang,2025.03.21.12,39393.52258414578
Yunnan,2025.03.21.12,25775.09491617548
Zhejiang,2025.03.21.12,78622.3025798408
Anhui,2025.03.21.16,29133.690476375967
Beijing,2025.03.21.16,16848.53822680678
Chongqing,2025.03.21.16,15603.753139566066
East_Inner_Mongolia,2025.03.21.16,13046.54310146269
Fujian,2025.03.21.16,40253.01993386246
Gansu,2025.03.21.16,18381.246752693143
Guangdong,2025.03.21.16,106517.45889630188
Guangxi,2025.03.21.16,26093.865428179965
Guizhou,2025.03.21.16,20264.52489240671
Hainan,2025.03.21.16,4611.456421422561
Hebei,2025.03.21.16,60769.77315696235
Heilongjiang,2025.03.21.16,15830.536701815354
Henan,2025.03.21.16,42919.27305393185
Hubei,2025.03.21.16,31722.81305101561
Hunan,2025.03.21.16,24040.738720700585
Jiangsu,2025.03.21.16,89264.21779205528
Jiangxi,2025.03.21.16,21893.24603287709
Jilin,2025.03.21.16,10789.328459492906
Liaoning,2025.03.21.16,32912.38595615562
Ningxia,2025.03.21.16,14100.71438630328
Qinghai,2025.03.21.16,9237.030406322585
Shaanxi,2025.03.21.16,24137.97965954241
Shandong,2025.03.21.16,103519.77142492094
Shanghai,2025.03.21.16,24760.423265648114
Shanxi,2025.03.21.16,29964.91918838976
Sichuan,2025.03.21.16,37108.96834111609
Tianjin,2025.03.21.16,12674.441406084296
Tibet,2025.03.21.16,1183.8845321380145
West_Inner_Mongolia,2025.03.21.16,37323.06181564012
Xinjiang,2025.03.21.16,39076.873711630215
Yunnan,2025.03.21.16,24599.17052916918
Zhejiang,2025.03.21.16,84790.71546161453
Anhui,2025.03.21.20,30558.412444505284
Beijing,2025.03.21.20,16535.195999094143
Chongqing,2025.03.21.20,14275.294192828916
East_Inner_Mongolia,2025.03.21.20,13585.114553068155
Fujian,2025.03.21.20,35945.29421750127
Gansu,2025.03.21.20,18795.484594002926
Guangdong,2025.03.21.20,98138.28412454417
Guangxi,2025.03.21.20,25770.9313057675
Guizhou,2025.03.21.20,22212.56185831705
Hainan,2025.03.21.20,5067.933178619851
Hebei,2025.03.21.20,41171.08744151532
Heilongjiang,2025.03.21.20,11302.4528258736
Henan,2025.03.21.20,41296.50235160637
Hubei,2025.03.21.20,24426.09888419183
Hunan,2025.03.21.20,24693.34050868892
Jiangsu,2025.03.21.20,86460.68017535114
Jiangxi,2025.03.21.20,22002.65092905977
Jilin,2025.03.21.20,10497.214296008497
Liaoning,2025.03.21.20,32223.67661032644
Ningxia,2025.03.21.20,15048.536974514554
Qinghai,2025.03.21.20,9159.223559485064
Shaanxi,2025.03.21.20,23439.716701127298
Shandong,2025.03.21.20,103519.77142492094
Shanghai,2025.03.21.20,22894.571871267428
Shanxi,2025.03.21.20,31314.398605759587
Sichuan,2025.03.21.20,33831.12823746801
Tianjin,2025.03.21.20,11638.269816632868
Tibet,2025.03.21.20,1240.2599860493483
West_Inner_Mongolia,2025.03.21.20,38156.32531090791
Xinjiang,2025.03.21.20,39877.96954327224
Yunnan,2025.03.21.20,25579.92142748584
Zhejiang,2025.03.21.20,75295.8184691145
Anhui,2025.04.11.00,25939.98756146526
Beijing,2025.04.11.00,9976.304556656532
Chongqing,2025.04.11.00,14397.909651307024
East_Inner_Mongolia,2025.04.11.00,11421.88496401236
Fujian,2025.04.11.00,34560.22610757823
Gansu,2025.04.11.00,17435.002522283296
Guangdong,2025.04.11.00,93203.67192326295
Guangxi,2025.04.11.00,21429.572513603554
Guizhou,2025.04.11.00,14991.77164419384
Hainan,2025.04.11.00,5499.523411902866
Hebei,2025.04.11.00,48758.82253084884
Heilongjiang,2025.04.11.00,9676.760319267558
Henan,2025.04.11.00,36750.39732903316
Hubei,2025.04.11.00,22853.03829168372
Hunan,2025.04.11.00,22647.918420284703
Jiangsu,2025.04.11.00,71954.7346058126
Jiangxi,2025.04.11.00,19123.304796491942
Jilin,2025.04.11.00,7823.506020340657
Liaoning,2025.04.11.00,28647.318014851942
Ningxia,2025.04.11.00,13842.90926508422
Qinghai,2025.04.11.00,10200.834165382064
Shaanxi,2025.04.11.00,19676.92153872724
