load_zone,TIMEPOINT,zone_demand_mw
Tianjin,2025.01.22.12,11503.2428498403
Tibet,2025.01.22.12,1300.0
West_Inner_Mongolia,2025.01.22.12,31986.5101101037
Xinjiang,2025.01.22.12,34683.6124844868
Yunnan,2025.01.22.12,23738.4262637441
Zhejiang,2025.01.22.12,55396.5698953357
Anhui,2025.01.22.13,29955.71779281237
Beijing,2025.01.22.13,18271.71006166908
Chongqing,2025.01.22.13,13991.355889518476
East_Inner_Mongolia,2025.01.22.13,7299.935448868905
Fujian,2025.01.22.13,27247.204463122525
Gansu,2025.01.22.13,16030.6907625122
Guangdong,2025.01.22.13,69115.73153165766
Guangxi,2025.01.22.13,23540.0074114666
Guizhou,2025.01.22.13,19565.042146210173
Hainan,2025.01.22.13,3467.52098852484
Hebei,2025.01.22.13,54485.11721503733
Heilongjiang,2025.01.22.13,9116.160405036677
Henan,2025.01.22.13,49754.39309983388
Hubei,2025.01.22.13,26803.818873671025
Hunan,2025.01.22.13,27732.562210671025
Jiangsu,2025.01.22.13,85248.7915465683
Jiangxi,2025.01.22.13,19324.7606260233
Jilin,2025.01.22.13,10443.4512709882
Liaoning,2025.01.22.13,29397.8563057236
Ningxia,2025.01.22.13,11105.36749056575
Qinghai,2025.01.22.13,8183.305793599395
Shaanxi,2025.01.22.13,23534.06990240705
Shandong,2025.01.22.13,70000.0
Shanghai,2025.01.22.13,22678.497618786525
Shanxi,2025.01.22.13,28943.50807882632
Sichuan,2025.01.22.13,36809.88661431563
Tianjin,2025.01.22.13,11548.056264511826
Tibet,2025.01.22.13,1287.5
West_Inner_Mongolia,2025.01.22.13,31988.316451980623
Xinjiang,2025.01.22.13,34613.914942513475
Yunnan,2025.01.22.13,23467.674649039825
Zhejiang,2025.01.22.13,57797.42742150177
Anhui,2025.01.22.14,30112.44440291005
Beijing,2025.01.22.14,18229.40142536265
Chongqing,2025.01.22.14,14226.43166631585
East_Inner_Mongolia,2025.01.22.14,7272.886514532543
Fujian,2025.01.22.14,28104.397597268748
Gansu,2025.01.22.14,15874.0670041862
Guangdong,2025.01.22.14,73050.1910094217
Guangxi,2025.01.22.14,23796.3655897368
Guizhou,2025.01.22.14,19207.67840691435
Hainan,2025.01.22.14,3443.83968418296
Hebei,2025.01.22.14,54368.89663898535
Heilongjiang,2025.01.22.14,9733.84414537455
Henan,2025.01.22.14,49674.62412099905
Hubei,2025.01.22.14,27848.85330133335
Hunan,2025.01.22.14,27354.56699661495
Jiangsu,2025.01.22.14,86132.7299049072
Jiangxi,2025.01.22.14,19762.982239898403
Jilin,2025.01.22.14,10692.0317308199
Liaoning,2025.01.22.14,29634.6242416082
Ningxia,2025.01.22.14,11150.7877735083
Qinghai,2025.01.22.14,8244.999249975659
Shaanxi,2025.01.22.14,23600.2562954351
Shandong,2025.01.22.14,70000.0
Shanghai,2025.01.22.14,22607.84705305865
Shanxi,2025.01.22.14,28732.84161878875
Sichuan,2025.01.22.14,36996.95103731215
Tianjin,2025.01.22.14,11592.86967918335
Tibet,2025.01.22.14,1275.0
West_Inner_Mongolia,2025.01.22.14,31990.12279385755
Xinjiang,2025.01.22.14,34544.21740054015
Yunnan,2025.01.22.14,23196.923034335552
Zhejiang,2025.01.22.14,60198.28494766785
Anhui,2025.01.22.15,30269.171013007726
Beijing,2025.01.22.15,18187.092789056223
Chongqing,2025.01.22.15,14461.507443113223
East_Inner_Mongolia,2025.01.22.15,7245.837580196183
Fujian,2025.01.22.15,28961.590731414974
Gansu,2025.01.22.15,15717.4432458602
Guangdong,2025.01.22.15,76984.65048718575
Guangxi,2025.01.22.15,24052.723768007003
Guizhou,2025.01.22.15,18850.314667618528
Hainan,2025.01.22.15,3420.15837984108
Hebei,2025.01.22.15,54252.67606293337
Heilongjiang,2025.01.22.15,10351.527885712425
Henan,2025.01.22.15,49594.85514216422
Hubei,2025.01.22.15,28893.88772899568
Hunan,2025.01.22.15,26976.57178255888
Jiangsu,2025.01.22.15,87016.6682632461
Jiangxi,2025.01.22.15,20201.203853773502
Jilin,2025.01.22.15,10940.6121906516
Liaoning,2025.01.22.15,29871.3921774928
Ningxia,2025.01.22.15,11196.20805645085
Qinghai,2025.01.22.15,8306.692706351925
Shaanxi,2025.01.22.15,23666.44268846315
Shandong,2025.01.22.15,70000.0
Shanghai,2025.01.22.15,22537.196487330777
Shanxi,2025.01.22.15,28522.17515875117
Sichuan,2025.01.22.15,37184.01546030868
Tianjin,2025.01.22.15,11637.683093854874
Tibet,2025.01.22.15,1262.5
West_Inner_Mongolia,2025.01.22.15,31991.92913573448
Xinjiang,2025.01.22.15,34474.519858566826
Yunnan,2025.01.22.15,22926.171419631275
Zhejiang,2025.01.22.15,62599.14247383393
Anhui,2025.01.22.16,30425.8976231054
Beijing,2025.01.22.16,18144.7841527498
Chongqing,2025.01.22.16,14696.5832199106
East_Inner_Mongolia,2025.01.22.16,7218.788645859821
Fujian,2025.01.22.16,29818.7838655612
